Multilateral,Multilat,Donor,NameE
African Development Bank [AfDB],Regional Devt Banks ,"Regional Development Banks, Total",   d. Regional development banks and funds
African Development Fund [AfDF],Regional Devt Banks ,"Regional Development Banks, Total",   d. Regional development banks and funds
AsDB Special Funds,Regional Devt Banks ,"Regional Development Banks, Total",   d. Regional development banks and funds
Caribbean Development Bank [CarDB],Regional Devt Banks ,"Regional Development Banks, Total",   d. Regional development banks and funds
European Bank for Reconstruction and Development [EBRD],Regional Devt Banks ,"Regional Development Banks, Total",   d. Regional development banks and funds
EU Institutions,EU,EU Institutions,   b. EU
Global Alliance for Vaccines and Immunization [GAVI],Other Agencies,"Other Multilateral, Total",   e. Other
Global Environment Facility [GEF],Other Agencies,"Other Multilateral, Total",   e. Other
Global Fund,Other Agencies,"Other Multilateral, Total",   e. Other
International Atomic Energy Agency [IAEA],UN agencies,"United Nations, Total",   a. United Nations
International Bank for Reconstruction and Development [IBRD],"World Bank (IBRD, ICF, IDA, MIGA/IMF conc)","World Bank, Total","   c. World Bank (AMCs, IDA, IBRD..)"
International Development Association [IDA],"World Bank (IBRD, ICF, IDA, MIGA/IMF conc)","World Bank, Total","   c. World Bank (AMCs, IDA, IBRD..)"
IDB Special Fund,Regional Devt Banks ,"Regional Development Banks, Total",   d. Regional development banks and funds
IFAD,UN agencies,"United Nations, Total",   a. United Nations
International Finance Corporation [IFC],"World Bank (IBRD, ICF, IDA, MIGA/IMF conc)","World Bank, Total","   c. World Bank (AMCs, IDA, IBRD..)"
IMF (Concessional Trust Funds),Other Agencies,"Other Multilateral, Total",   e. Other
Montreal Protocol,Other Agencies,"Other Multilateral, Total",   e. Other
Nordic Development Fund [NDF],Other Agencies,"Other Multilateral, Total",   e. Other
OSCE,Other Agencies,"Other Multilateral, Total",   e. Other
UNAIDS,UN agencies,"United Nations, Total",   a. United Nations
UNDP,UN agencies,"United Nations, Total",   a. United Nations
UNECE,UN agencies,"United Nations, Total",   a. United Nations
UNFPA,UN agencies,"United Nations, Total",   a. United Nations
UNHCR,UN agencies,"United Nations, Total",   a. United Nations
UNICEF,UN agencies,"United Nations, Total",   a. United Nations
UN Peacebuilding Fund [UNPBF],UN agencies,"United Nations, Total",   a. United Nations
UNRWA,UN agencies,"United Nations, Total",   a. United Nations
UNTA,UN agencies,"United Nations, Total",   a. United Nations
WFP,UN agencies,"United Nations, Total",   a. United Nations
World Health Organisation [WHO],UN agencies,"United Nations, Total",   a. United Nations
Other Multilaterals,Other Agencies,"Other Multilateral, Total",   e. Other
Council of Europe Development Bank [CEB],Regional Devt Banks ,"Regional Development Banks, Total",   d. Regional development banks and funds
World Tourism Organisation [UNWTO],UN agencies,"United Nations, Total",   a. United Nations
Islamic Development Bank [IsDB],Regional Devt Banks ,"Regional Development Banks, Total",   d. Regional development banks and funds
International Labour Organisation [ILO],UN agencies,"United Nations, Total",   a. United Nations
Adaptation Fund,Other Agencies,"Other Multilateral, Total",   e. Other
Arab Fund (AFESD),Other Agencies,"Other Multilateral, Total",   e. Other
Climate Investment Funds [CIF],Other Agencies,"Other Multilateral, Total",   e. Other
Global Green Growth Institute [GGGI],Other Agencies,"Other Multilateral, Total",   e. Other
OPEC Fund for International Development [OFID],Other Agencies,"Other Multilateral, Total",   e. Other
UNEP,UN agencies,"United Nations, Total",   a. United Nations